41236	29145
5498	35713
18732	37441
17929	14746
47974	29208
1355	14897
15613	45379
11569	27690
32638	2955
25698	2529
26076	13692
13283	37054
15798	48697
20239	39108
49275	6063
42496	19666
3365	11793
20608	44943
837	37720
43138	1787
443	36452
28235	7011
17294	11779
22677	25814
1515	44126
2842	32
7352	30877
17425	32395
22757	24489
26015	14143
28066	21218
44168	5870
39700	41162
32956	3589
45083	13847
26205	8236
32188	41521
3081	41363
205	41615
26118	1675
10393	26864
12047	16776
39817	25780
20187	32645
16164	8693
28267	1795
25535	31913
34309	44293
20313	22011
6891	7512
4629	908
47459	24037
39427	10627
30046	24762
36258	37428
23763	10744
34056	14858
10164	27787
20689	45606
37818	1772
43900	26604
10966	33222
32097	10938
43626	21262
1556	24428
7240	40651
40406	3291
34836	25739
6117	29653
23966	42629
6267	30812
28436	17577
33129	19234
2801	20879
41705	20216
49392	14001
16166	32765
20308	14936
16781	44824
40009	5166
23357	15919
29133	15686
48926	4390
38008	13708
45810	14794
40881	25723
13764	28824
21884	45341
43329	30648
6143	47183
12181	46603
25295	11528
36734	44236
34162	29064
48436	38588
13435	11994
14799	42019
9545	43307
27676	26590
42475	7498
