12953	23523
24911	24143
18475	21657
19810	10858
8783	7187
7231	23255
20477	24309
17461	479
11483	690
1463	1017
19126	7393
21462	13665
9794	16051
17034	13780
10605	1473
15018	1510
7496	15631
20427	4229
24628	24449
16971	2357
10880	24879
19463	20246
21846	16104
786	2142
14790	17281
12073	21318
11117	21332
20657	22825
23356	14327
5330	14259
849	9369
718	18516
6225	22580
485	18656
4462	11884
5533	35
6574	22411
4546	22638
17960	14358
1521	5727
5046	8763
4289	23969
14396	21875
14296	12705
21876	10190
7421	11405
18978	4340
18160	131
17256	1136
15796	24823
19325	18123
1052	22595
19418	9169
11058	17461
3404	10768
16967	14129
24303	16896
16050	10254
19679	13997
1966	7608
24639	12812
18665	1983
2903	15563
18848	17232
1952	1034
8554	6483
2474	9164
24945	3521
8313	15485
21112	16344
3039	1818
1099	11710
23990	15089
21142	18685
9200	10435
19660	9467
5726	7863
4982	15760
7715	23287
1358	18978
13050	19522
12111	2273
1399	5396
10813	20232
18568	6031
15396	3322
16297	10461
5524	21859
9265	13138
14917	22538
23271	16981
24910	17300
24079	11000
1421	10539
17618	7541
22297	16085
17685	9143
9704	16791
24497	19355
15173	5977
