8297	1349
11558	1393
1	335
13981	264
2979	647
11479	1004
15882	1986
9914	531
19303	1438
10301	1665
8465	31
5489	1634
14453	1714
3542	1320
12755	1211
3114	1787
3963	850
13817	294
5119	300
11852	376
1502	408
14604	834
8612	769
2822	1400
4904	931
11865	1247
967	1907
12940	1592
875	519
14448	1896
13155	1314
12479	759
1941	1381
972	401
10746	1193
12096	612
4150	813
8539	725
12857	1049
995	1913
2445	272
17343	1771
15730	646
16584	611
3466	473
18728	662
13972	1230
7153	278
4035	548
5436	1869
