767	1742
9840	1487
10976	1792
17286	41
6183	774
15396	1020
16374	1084
1285	1843
19275	236
238	1035
19554	844
18023	1131
6097	1638
17155	633
11875	313
6425	196
3792	1475
10090	521
11666	1376
17156	1605
8409	1761
17022	1476
14782	1750
14742	1705
7178	557
17745	971
14384	922
9457	1278
2308	162
19679	1889
7016	318
14610	810
72	1647
10140	1927
6069	301
12323	1282
16927	1792
10046	1084
19711	1974
16670	1844
14455	1097
1512	1965
5229	1558
7310	1029
5248	584
15877	845
1884	1471
7737	442
6651	507
19868	1190
